Generation: 289; Difference: 134.31937390502455; Time: 17147394022775;
Generation: 290; Difference: 134.31421773530138; Time: 17232911226592;
Generation: 291; Difference: 134.31070294427218; Time: 17304547036815;
Generation: 292; Difference: 134.3009353849398; Time: 17390621417165;
Generation: 293; Difference: 134.29219138082092; Time: 17462116044925;
Generation: 294; Difference: 134.29219138082092; Time: 17532263576840;
Generation: 295; Difference: 134.29219138082092; Time: 17602755178102;
Generation: 296; Difference: 134.29219138082092; Time: 17671542567367;
Generation: 297; Difference: 134.29219138082092; Time: 17738740117819;
Generation: 298; Difference: 134.2878521030202; Time: 17815914428064;
Generation: 299; Difference: 134.28173633440318; Time: 17877523414093;
Generation: 300; Difference: 134.27794613501246; Time: 17942821115449;
Generation: 301; Difference: 134.27438550718645; Time: 18008455841083;
Generation: 302; Difference: 134.27438550718645; Time: 18072245834367;
Generation: 303; Difference: 134.27438550718645; Time: 18124380905953;
Generation: 304; Difference: 134.27438550718645; Time: 18182386189615;
Generation: 305; Difference: 134.27438550718645; Time: 18240492762265;
Generation: 306; Difference: 134.27374498018375; Time: 18295899695123;
Generation: 307; Difference: 134.27281992379577; Time: 18358219309465;
Generation: 308; Difference: 134.27281992379577; Time: 18418618682609;
Generation: 309; Difference: 134.2682023876998; Time: 18479560030469;
Generation: 310; Difference: 134.25259323030784; Time: 18538677141472;
Generation: 311; Difference: 134.25259323030784; Time: 18597195784153;
Generation: 312; Difference: 134.25259323030784; Time: 18654109561426;
Generation: 313; Difference: 134.251479483467; Time: 18713687408026;
Generation: 314; Difference: 134.251479483467; Time: 18772039382846;
Generation: 315; Difference: 134.251479483467; Time: 18834607602003;
Generation: 316; Difference: 134.251479483467; Time: 18890767371925;
Generation: 317; Difference: 134.251479483467; Time: 18949984001970;
Generation: 318; Difference: 134.251479483467; Time: 19008209533616;
Generation: 319; Difference: 134.251479483467; Time: 19068646815439;
Generation: 320; Difference: 134.23958648131452; Time: 19130863883474;
